Source,Target,Type,id,label,weight
1,0,Directed,0,,1
2,0,Directed,1,,8
3,0,Directed,2,,10
3,2,Directed,3,,6
4,0,Directed,4,,1
5,0,Directed,5,,1
6,0,Directed,6,,1
7,0,Directed,7,,1
8,0,Directed,8,,2
9,0,Directed,9,,1
11,0,Directed,13,,5
11,2,Directed,12,,3
11,3,Directed,11,,3
11,10,Directed,10,,1
12,11,Directed,14,,1
13,11,Directed,15,,1
14,11,Directed,16,,1
15,11,Directed,17,,1
17,16,Directed,18,,4
18,16,Directed,19,,4
18,17,Directed,20,,4
19,16,Directed,21,,4
19,17,Directed,22,,4
19,18,Directed,23,,4
20,16,Directed,24,,3
20,17,Directed,25,,3
20,18,Directed,26,,3
20,19,Directed,27,,4
21,16,Directed,28,,3
21,17,Directed,29,,3
21,18,Directed,30,,3
21,19,Directed,31,,3
21,20,Directed,32,,5
22,16,Directed,33,,3
22,17,Directed,34,,3
22,18,Directed,35,,3
22,19,Directed,36,,3
22,20,Directed,37,,4
22,21,Directed,38,,4
23,11,Directed,47,,9
23,12,Directed,46,,2
23,16,Directed,39,,3
23,17,Directed,40,,3
23,18,Directed,41,,3
23,19,Directed,42,,3
23,20,Directed,43,,4
23,21,Directed,44,,4
23,22,Directed,45,,4
24,11,Directed,49,,7
24,23,Directed,48,,2
25,11,Directed,52,,12
25,23,Directed,51,,1
25,24,Directed,50,,13
26,11,Directed,54,,31
26,16,Directed,55,,1
26,24,Directed,53,,4
26,25,Directed,56,,1
27,11,Directed,57,,17
27,23,Directed,58,,5
27,24,Directed,60,,1
27,25,Directed,59,,5
27,26,Directed,61,,1
28,11,Directed,62,,8
28,27,Directed,63,,1
29,11,Directed,66,,2
29,23,Directed,64,,1
29,27,Directed,65,,1
30,23,Directed,67,,1
31,11,Directed,69,,3
31,23,Directed,70,,2
31,27,Directed,71,,1
31,30,Directed,68,,2
32,11,Directed,72,,1
33,11,Directed,73,,2
33,27,Directed,74,,1
34,11,Directed,75,,3
34,29,Directed,76,,2
35,11,Directed,77,,3
35,29,Directed,79,,2
35,34,Directed,78,,3
36,11,Directed,82,,2
36,29,Directed,83,,1
36,34,Directed,80,,2
36,35,Directed,81,,2
37,11,Directed,87,,2
37,29,Directed,88,,1
37,34,Directed,84,,2
37,35,Directed,85,,2
37,36,Directed,86,,2
38,11,Directed,93,,2
38,29,Directed,94,,1
38,34,Directed,89,,2
38,35,Directed,90,,2
38,36,Directed,91,,2
38,37,Directed,92,,2
39,25,Directed,95,,1
